Time,Series 1,Series 2,Series 3
2/11/2014,62.8524,0.2523,7.4667
3/11/2014,65.7423,0.2466,7.7637
4/11/2014,68.7938,0.2073,7.8144
5/11/2014,68.8298,0.1689,7.5771
8/11/2014,71.3607,0.1652,7.8356
9/11/2014,71.2261,0.1442,7.7239
10/11/2014,69.467,0.1473,7.5456
11/11/2014,70.0235,0.1207,7.521
12/11/2014,69.7452,0.121,7.4917
15/11/2014,70.0504,0.118,7.5179
16/11/2014,70.4812,0.1176,7.5632
17/11/2014,70.7773,0.1175,7.5949
19/11/2014,70.7504,0.1224,7.603
22/11/2014,70.2927,0.1268,7.5651
23/11/2014,70.8312,0.122,7.6108
24/11/2014,71.9531,0.1212,7.7294
25/11/2014,73.407,0.1143,7.8703
26/11/2014,73.2365,0.1097,7.8438
29/11/2014,74.7264,0.1069,7.9988
30/11/2014,75.1123,0.094,8.0254
1/12/2014,75.4534,0.0932,8.0612
2/12/2014,76.3957,0.093,8.1617
3/12/2014,76.7278,0.0925,8.1968
6/12/2014,76.0457,0.0936,8.1248
7/12/2014,76.0726,0.1362,8.2182
8/12/2014,76.0457,0.1369,8.2178
9/12/2014,77.1855,0.1363,8.3388
10/12/2014,76.2342,0.132,8.221
13/12/2014,76.674,0.1274,8.2537
14/12/2014,77.6612,0.129,8.3649
15/12/2014,77.8587,0.1307,8.3916
16/12/2014,77.9843,0.1321,8.4101
17/12/2014,78.1279,0.1319,8.4249
21/12/2014,78.1997,0.1346,8.442
22/12/2014,77.6343,0.142,8.4094
23/12/2014,77.0868,0.1424,8.352
24/12/2014,77.4458,0.141,8.3851
28/12/2014,78.2895,0.1604,8.5692
29/12/2014,78.4339,0.1582,8.5733
30/12/2014,77.7119,0.1596,8.5018
31/12/2014,77.7209,0.1594,8.5017
3/1/2015,77.7751,0.1637,8.5314
4/1/2015,78.0007,0.1634,8.5544
5/1/2015,78.5873,0.1654,8.6305
6/1/2015,77.8292,0.1708,8.5793
7/1/2015,78.2444,0.1692,8.6152
11/1/2015,75.4016,0.1755,8.3401
12/1/2015,75.7535,0.1374,8.1881
13/01/2015,75.1759,0.1392,8.1322
14/01/2015,75.5099,0.1352,8.1539
17/01/2015,75.546,0.1354,8.1584
18/01/2015,76.4575,0.1377,8.2653
19/01/2015,77.6397,0.1336,8.378
20/01/2015,78.2895,0.128,8.4296
21/01/2015,78.4519,0.1493,8.5305
24/01/2015,77.6397,0.1589,8.4903
25/01/2015,76.3762,0.1578,8.3465
26/01/2015,76.665,0.1518,8.3481
27/01/2015,76.3401,0.1544,8.3253
28/01/2015,78.6775,0.1492,8.5546
31/01/2015,78.3075,0.1309,8.4408
1/2/2015,78.2624,0.1305,8.4345
2/2/2015,77.5765,0.1315,8.3639
3/2/2015,78.6956,0.1261,8.4674
4/2/2015,78.5151,0.1224,8.4375
7/2/2015,79.5529,0.1205,8.544
8/2/2015,80.8254,0.1192,8.6773
9/2/2015,81.755,0.1132,8.763
10/2/2015,81.7008,0.1319,8.8099
11/2/2015,81.4301,0.1325,8.7831
15/02/2015,82.134,0.1313,8.8546
16/02/2015,82.1791,0.1286,8.8504
17/02/2015,82.2423,0.1284,8.8565
18/02/2015,81.5203,0.1366,8.808
21/02/2015,81.6106,0.1352,8.8123
22/02/2015,81.782,0.1369,8.8376
23/02/2015,84.4714,0.1358,9.1239
24/02/2015,83.1538,0.1076,8.902
25/02/2015,83.7494,0.1027,8.958
28/02/2015,82.9552,0.1015,8.8716
1/3/2015,82.495,0.1016,8.8224
2/3/2015,82.3145,0.1015,8.803
3/3/2015,82.6394,0.1011,8.8373
4/3/2015,82.3777,0.1003,8.8082
7/3/2015,82.4499,0.1002,8.8159
8/3/2015,82.5852,0.1023,8.833
9/3/2015,82.7838,0.113,8.8729
10/3/2015,82.7026,0.1134,8.8649
11/3/2015,81.8362,0.1153,8.7762
14/03/2015,81.2496,0.1209,8.7272
15/03/2015,78.8671,0.1266,8.4873
16/03/2015,78.9934,0.1376,8.5389
17/03/2015,78.8671,0.1394,8.5323
18/03/2015,78.7768,0.1394,8.5226
21/03/2015,78.7317,0.1419,8.5282
22/03/2015,79.959,0.1411,8.6576
23/03/2015,79.6612,0.1358,8.6041
24/03/2015,80.3471,0.1353,8.6763
25/03/2015,79.2732,0.136,8.5631
28/03/2015,78.9844,0.132,8.5174
29/03/2015,79.2476,0.1312,8.5431
30/03/2015,78.6816,0.1319,8.4845
31/03/2015,78.9464,0.1305,8.5083
1/4/2015,78.6725,0.1322,8.4845
4/4/2015,78.3986,0.1326,8.4563
5/4/2015,78.2617,0.1327,8.4418
6/4/2015,77.9604,0.1335,8.4122
7/4/2015,77.0476,0.1346,8.3175
11/4/2015,78.3803,0.1655,8.6085
12/4/2015,77.7413,0.1603,8.5087
13/04/2015,77.1023,0.1627,8.452
14/04/2015,78.0974,0.1591,8.5415
15/04/2015,77.1571,0.1608,8.4479
18/04/2015,79.8775,0.1519,8.6985
19/04/2015,80.5713,0.121,8.6546
20/04/2015,80.7265,0.1181,8.6638
21/04/2015,79.9779,0.1254,8.6031
22/04/2015,79.421,0.1341,8.5721
25/04/2015,79.4758,0.1381,8.5929
26/04/2015,78.9646,0.139,8.5412
27/04/2015,79.421,0.1381,8.587
28/04/2015,79.5123,0.1368,8.592
29/04/2015,79.421,0.1411,8.5992
2/5/2015,79.5123,0.1454,8.6278
3/5/2015,79.1928,0.1589,8.6604
4/5/2015,79.8136,0.1574,8.7196
5/5/2015,79.5671,0.1568,8.6895
6/5/2015,79.348,0.1571,8.6673
9/5/2015,79.7314,0.1569,8.7083
10/5/2015,79.9779,0.1562,8.7315
11/5/2015,76.9288,0.1727,8.4915
12/5/2015,76.6459,0.1367,8.2819
13/05/2015,77.3944,0.1357,8.359
16/05/2015,77.3214,0.1341,8.3454
17/05/2015,78.2891,0.1326,8.4444
18/05/2015,78.2434,0.1294,8.4288
19/05/2015,77.9148,0.1317,8.4012
20/05/2015,77.9239,0.1395,8.4309
24/05/2015,76.5911,0.1456,8.3118
25/05/2015,74.9935,0.1373,8.1056
26/05/2015,75.8243,0.1236,8.1515
